track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,isrc
5INY1sXYVmFCN5I6cbwdmk,0.191,0.657,0.47,0.0,2,0.051,-6.148,1,0.034,115.913,0.351,USUM72504451
7HXzuAd8UNJj2yCAS0NWbB,0.382,0.77,0.462,0.00139,0,0.093,-9.602,1,0.0421,122.998,0.596,GBAZP2500234
0cQjawSUdvCmCjJDeqPkt1,0.00303,0.764,0.83,0.465,11,0.662,-6.002,1,0.0553,140.971,0.129,GBPVV2500138
5773KSWFzg9kCc8yazjbSt,0.055,0.603,0.864,0.00493,4,0.0986,-3.341,0,0.0668,160.488,0.616,TCABE1211301
541sN2qNfIlllGn9nGOQoC,0.354,0.452,0.737,0.0,6,0.105,-6.22,1,0.27,147.822,0.179,USRC12403577
6A18pcBX8QZGwI8EkR7aIP,0.0151,0.321,0.669,1.13e-06,7,0.289,-6.24,1,0.0535,137.806,0.161,USRC12500271
2uvE4L5ZsYKpv8hbK4TIOt,0.216,0.572,0.455,3.88e-06,1,0.072,-8.078,1,0.134,179.787,0.597,USUM72409025
3ld1FzyNgpZwGn4h9cOXrq,0.148,0.796,0.698,0.0,0,0.129,-6.947,1,0.0312,114.014,0.794,USAT22408814
7hGCCQkdyF1MX6uk339uBS,0.352,0.603,0.612,2.68e-05,0,0.103,-6.732,1,0.159,126.612,0.174,NZUM72500008
0vtgMfyOVM2Y97DcVVJw3m,0.41,0.574,0.632,0.00735,0,0.112,-5.756,1,0.0618,139.914,0.304,NZUM72500022
5IOucMoMeoBw64mEQ68MjE,0.52,0.542,0.39,0.0,9,0.247,-7.531,1,0.918,187.381,0.396,NZUM72500026
6wHpLMmp98aHcV8L1JFrj8,0.577,0.62,0.423,0.0,7,0.122,-7.848,0,0.0403,137.684,0.425,USAT22503779
29iva9idM6rFCPUlu7Rhxl,0.802,0.446,0.301,0.000164,7,0.105,-12.748,0,0.218,80.572,0.589,USUG12506174
1u8c2t2Cy7UBoG4ArRcF5g,0.103,0.76,0.703,0.0,5,0.0913,-5.412,1,0.054,95.997,0.57,USCJY1431309
1W5XugQJGhnSATMI5n002M,0.0352,0.615,0.931,2.23e-05,3,0.0915,-7.8,1,0.273,137.544,0.525,GBAYE0000817
4fQVQKIiidREPI0MhFEuDn,0.122,0.717,0.51,0.0323,4,0.127,-8.389,0,0.067,124.533,0.48,FRUM70600211
2dLLR6qlu5UJ5gk0dKz0h3,0.12,0.674,0.426,0.0,7,0.132,-9.504,1,0.122,84.876,0.337,NZUM71200031
3lIxtCaROdRDuTnNBDm3n2,0.00799,0.726,0.815,0.081,11,0.112,-5.886,1,0.0313,140.158,0.462,GBAYE1700176
1UYj8qTWjneZJDVjUMwMub,0.000296,0.547,0.827,0.101,7,0.0858,-6.036,1,0.0468,119.089,0.451,AUUM71500304
49Hkgl03InFFqBklOQxunt,0.00373,0.775,0.736,0.00669,0,0.506,-4.966,1,0.0303,126.966,0.778,AUEI10800040
